sample_id	donor	cell_type	size_factor
SRR7650764	1001	Mature_NK	2.26968362140631
SRR7650766	1001	Memory_NK	1.21648677734633
SRR7650808	1002	Memory_NK	0.623114678732596
SRR7650846	1003	Mature_NK	0.791113502922114
SRR7650848	1003	Memory_NK	0.253072022895258
SRR7650883	1004	Mature_NK	1.29263307921435
SRR7650885	1004	Memory_NK	1.71931640874798
SRR7650911	1008	Mature_NK	0.715201470215058
SRR7650913	1008	Memory_NK	1.92155742638751
SRR7650922	1010	Memory_NK	1.17064115920054
