classification_method	total_filtered_peaks	padj_non_missing	padj_missing	significant_total	more_accessible_memory_nk	more_accessible_mature_nk	adjusted_pvalue_threshold	absolute_lfc_threshold
ordinary_lfc	59186	59186	0	0	0	0	0.05	1
apeglm_lfc	59186	59186	0	0	0	0	0.05	1
