term_name	term_id	padj	minus_log10_padj
positive regulation of natural killer cell mediated cytotoxicity	GO:0045954	0.03419	1.4661096658508623
positive regulation of natural killer cell mediated immunity	GO:0002717	0.03419	1.4661096658508623
regulation of natural killer cell mediated cytotoxicity	GO:0042269	0.04695	1.3283886655450232
negative regulation of collagen biosynthetic process	GO:0032966	0.04695	1.3283886655450232
regulation of natural killer cell mediated immunity	GO:0002715	0.04695	1.3283886655450232
negative regulation of collagen metabolic process	GO:0010713	0.04695	1.3283886655450232
